target_role,skills_count,projects_done,certifications,experience_years,learning_rate,career_readiness_score,months_to_job_ready
Sales Executive,25,1,2,4.8222624781318055,4.293863441213625,29.28750091639982,9.071249908360018
SEO Specialist,8,7,4,0.6104308693350804,4.967614662840551,40.67580290470309,7.932419709529691
IoT Developer,6,5,4,5.444499486244517,0.9310265308899038,42.45054600391123,7.754945399608877
Database Administrator,16,4,3,3.701869925142379,3.402901452982134,42.6987843770642,7.73012156229358
Data Scientist,19,3,5,2.4522436909052487,5.5036670933904475,34.47770510967922,8.552229489032078
Blockchain Developer,24,5,5,7.421146734198938,2.849968152500433,66.25743989804371,5.374256010195628
Product Manager,25,3,5,3.706364517146346,5.311955737580328,37.711801762663285,8.228819823733671
Mobile App Developer,7,9,4,7.252973435394436,0.8481791507990535,62.47344050801496,5.752655949198504
Sales Executive,11,9,5,7.011120540680525,1.3730913102782467,83.40122225322585,3.6598777746774154
Sales Executive,15,8,1,7.991345599895131,1.6682708759604292,63.49511711632208,5.650488288367792
Data Engineer,18,8,3,0.38744365959261184,12.97349977099989,50.29120687105804,6.970879312894196
Software Tester,28,9,1,4.5068827443520805,5.084546248731573,52.97132265130337,6.702867734869663
Cloud Architect,7,2,0,1.266690376188106,3.0882029912580746,19.56844514515652,10.043155485484348
Game Developer,14,5,3,1.4195997101531637,5.786081036980196,37.237185870398505,8.276281412960149
System Administrator,22,2,2,3.512606571026036,4.875231122796029,35.41915977807781,8.458084022192219
Software Tester,15,2,1,7.244044544942701,1.8194952633051613,33.467073548124766,8.653292645187523
Game AI Developer,16,6,2,0.09537549679965096,14.606863168609358,35.32517284859365,8.467482715140635
Full Stack Developer,7,7,5,1.287025306666715,3.060744443708117,34.00102290388658,8.599897709611342
Data Engineer,19,8,5,2.0618469942592537,6.205404788555292,61.29764476828295,5.870235523171705
Video Editor,24,8,5,7.250092903876813,2.9090581499660604,81.81456704671761,3.8185432953282383
Cloud Engineer,7,4,1,6.796615540799435,0.8978254684188579,46.50046233277034,7.349953766722966
Product Manager,9,4,5,0.1628508120857557,7.73959987511819,38.29932462895001,8.170067537104998
SEO Specialist,22,2,5,1.0456182900867024,10.75469461072698,24.936419786682453,9.506358021331755
IoT Developer,14,9,1,7.899159771937568,1.5731822282983745,64.81622976879848,5.518377023120152
Product Manager,34,10,4,4.745076731787753,5.918110686298855,79.9630548342306,4.00369451657694
UI/UX Designer,14,5,3,1.140719199076397,6.5398581962735856,23.716622530833135,9.628337746916687
Software Tester,12,0,3,6.567471905535006,1.5857343310680745,35.436387177288395,8.45636128227116
Game Designer,19,9,4,7.848456071457998,2.1472672573113973,84.94131569493888,3.505868430506112
Computer Vision Engineer,28,7,1,1.761011595606913,10.141210578235608,48.851439906052065,7.114856009394794
Data Engineer,18,5,0,7.379683195339456,2.148052567191453,42.17429840834601,7.782570159165399
Digital Marketer,24,2,2,7.336765584019673,2.8788143025161212,44.71135328000056,7.528864671999944
Product Manager,28,1,2,5.39368009688971,4.3793245166615336,40.55648767131512,7.944351232868488
Business Analyst,33,5,5,0.7121666006782235,19.273825331558296,41.77153010304471,7.822846989695529
Database Administrator,13,2,0,3.446928659211731,2.9233659894837167,22.319232706234335,9.768076729376567
UI/UX Designer,24,1,5,5.398429246324402,3.750920589422299,54.33682469623736,6.566317530376264
System Administrator,22,4,5,6.994257891601249,2.75197526753711,69.37393979448369,5.062606020551631
Data Analyst,34,4,0,7.811350801120578,3.8586592189333864,47.25998860141138,7.274001139858862
Robotics Engineer,26,8,3,3.8303664019056214,5.382614451305966,64.72256188646054,5.527743811353946
Network Engineer,26,10,3,5.725213302500619,3.8660483809981887,77.48727885802643,4.2512721141973575
UI/UX Designer,29,4,5,0.30287273276823345,22.258505585870434,32.90125882663021,8.709874117336978
Operations Manager,13,8,3,7.18932058332942,1.5874332757791207,60.76587902779134,5.923412097220866
HR Analyst,30,10,0,0.2103691253759541,24.785827208440786,47.22934098267039,7.2770659017329615
Financial Analyst,25,6,5,0.11249518998374519,22.472007272557537,42.851089764628526,7.714891023537147
Computer Vision Engineer,17,2,1,0.8623086352770555,9.128454692189575,22.447968379456817,9.755203162054318
Mobile App Developer,6,8,2,7.62077908176573,0.6959927801294573,61.030371564978566,5.896962843502143
Business Analyst,25,1,0,7.04381994479165,3.1079760824566227,49.19475093167486,7.080524906832514
Content Writer,12,10,0,4.629241772657194,2.1317258139963657,56.64654291180486,6.335345708819514
Cloud Architect,10,1,1,2.922611095484366,2.549322315309771,11.461036844085488,10.85389631559145
Game Designer,20,1,1,0.5657129488197459,12.773733534666269,24.707954558443685,9.529204544155633
HR Analyst,10,9,0,7.7186466658283,1.1469669988111588,70.28350121824285,4.9716498781757155
Backend Developer,12,8,5,7.999074946631124,1.3334703923643059,81.76825906614958,3.8231740933850418
Product Manager,18,6,3,2.140310098901697,5.731918005898648,32.14621402666976,8.785378597333024
IoT Developer,20,9,1,4.952527847958206,3.3599170824308295,62.2814887248032,5.77185112751968
Business Analyst,10,8,5,0.6058886135101904,6.227081950685083,43.20647305988499,7.6793526940115004
Blockchain Developer,19,9,5,1.3612710426590509,8.046513787169435,51.88748119342569,6.811251880657431
Frontend Developer,32,8,5,7.599766048874442,3.7210314580811454,77.86413282239215,4.213586717760785
AI Engineer,5,0,0,7.198584932198579,0.6098613408715609,34.34631039991366,8.565368960008634
Game AI Developer,26,4,1,1.335322402061525,11.13336641529593,21.65397545172884,9.834602454827117
Database Administrator,33,9,5,0.3401221818704263,24.624620386434813,63.92180653306856,5.607819346693144
Sales Executive,26,0,1,2.882013910742394,6.69755456775985,30.33380936644165,8.966619063355836
Video Editor,33,9,4,6.579688853184589,4.353740719335085,76.92932863881123,4.307067136118877
SEO Specialist,7,9,5,6.825731207006301,0.8944851049487833,66.96672349402155,5.303327650597845
HR Analyst,21,0,0,2.501830439883558,5.996863743265162,12.584581782042113,10.741541821795789
System Administrator,30,9,0,1.4685670915316047,12.152799129063458,38.39491533078763,8.160508466921236
Full Stack Developer,17,2,0,2.743017235736339,4.541790467244724,19.906523472743807,10.00934765272562
Digital Marketer,16,0,0,6.316542893825028,2.186825148459607,39.34232008013214,8.065767991986785
System Administrator,19,3,0,1.7729065423377897,6.852016001946256,20.77265112753868,9.922734887246133
Cybersecurity Analyst,18,10,2,2.653374953184626,4.926951169988589,61.986154609934474,5.801384539006553
DevOps Engineer,7,10,2,5.587891589652787,1.0625554329088365,66.60076787847152,5.339923212152849
Cloud Architect,6,1,0,4.524002310831065,1.0861689880606373,15.4657347464724,10.45342652535276
Embedded Systems Engineer,13,9,5,2.8224928179006543,3.4009220211274878,54.439180464278834,6.556081953572116
AI Engineer,17,9,1,3.9107134478841683,3.461818772448355,54.46020986746006,6.553979013253994
Financial Analyst,11,6,4,3.907367809944148,2.2415275206618746,51.594515383111464,6.840548461688853
Mobile App Developer,17,0,0,6.712648424968508,2.2041715197292184,23.78375185782108,9.621624814217892
AI Engineer,21,10,0,7.756542740574513,2.398206760608148,71.93579116074542,4.806420883925457
Game Designer,26,5,1,4.364399005587729,4.846768477310799,53.87761660350301,6.612238339649699
Sales Executive,18,6,4,1.9378907037191135,6.126844670298173,43.53531027483544,7.646468972516456
Full Stack Developer,10,9,2,3.527256480186021,2.2088432682720702,55.12224619876339,6.487775380123661
Cloud Engineer,7,7,2,5.502072578034669,1.0765798006696252,51.60157139064299,6.839842860935701
Content Writer,28,1,3,6.559755374483394,3.7038235515541955,50.9877834919128,6.90122165080872
DevOps Engineer,27,4,3,6.095949652408091,3.804987538325789,51.31869583961107,6.868130416038893
Network Engineer,17,10,1,5.660635643022938,2.552308955348371,52.489553825843885,6.751044617415611
Graphic Designer,18,3,5,1.1126315039654706,8.52017967459705,39.64972727100465,8.035027272899535
Game Designer,23,1,3,5.847287885712981,3.358994157086635,53.117279090416034,6.688272090958397
Data Scientist,17,10,0,6.517402127751572,2.261419531787724,58.71591324679153,6.128408675320847
Business Analyst,5,10,1,0.4140304298556643,3.5359917965205105,32.33790551012262,8.766209448987738
Business Analyst,15,9,5,0.86015396209008,8.063848641402732,45.98978358784218,7.401021641215782
Game Designer,16,5,0,6.993430256842483,2.0016437856956073,50.79356655191782,6.920643344808218
Data Scientist,13,7,5,1.1718725167228214,5.985618354624211,44.93890775496083,7.506109224503917
Cybersecurity Analyst,25,9,4,3.120443374025431,6.067308231341247,56.64216413771932,6.335783586228068
UI/UX Designer,24,2,0,0.21961513131335497,19.678338997119,16.16931364928833,10.383068635071167
UI/UX Designer,19,7,0,5.330489147630785,3.0013478511547307,43.65602769466747,7.634397230533253
Data Scientist,17,10,1,1.8184912545933,6.0315957951954156,38.494310138428446,8.150568986157156
Cybersecurity Analyst,7,4,3,6.59850791233697,0.9212334948858538,53.11504763502653,6.688495236497348
Data Scientist,25,8,3,2.6391813815065026,6.869676825410338,58.40963453243534,6.159036546756466
Cloud Architect,32,1,5,2.2952808429852647,9.710856684072645,32.37311463157233,8.762688536842766
Operations Manager,25,8,3,6.979410890259426,3.133063373201878,75.202274161182,4.479772583881799
Frontend Developer,14,6,4,1.544777044618507,5.501464275468098,49.939370009278306,7.006062999072169
Video Editor,19,2,1,6.544218686196644,2.5184847881946397,38.37295764166786,8.162704235833214
Cloud Engineer,28,9,2,5.889119493235636,4.064380074622446,66.80782089065269,5.31921791093473
SEO Specialist,29,6,5,6.821234238673442,3.7078546831655412,61.8618898820358,5.81381101179642
Video Editor,8,8,3,3.0485826926584485,1.9760001480288167,49.65494862311202,7.034505137688798
Network Engineer,23,2,0,1.6063330257820967,8.824658925962948,17.44045285915059,10.255954714084941
Machine Learning Engineer,13,9,4,5.346570842390725,2.048350254466388,72.70472237781937,4.729527762218064
Game AI Developer,19,6,1,5.013273319602095,3.1596767667392927,52.7275240740484,6.727247592595161
Cybersecurity Analyst,9,8,1,7.838381468281477,1.0182859873494405,54.40319860317864,6.559680139682136
Software Tester,9,0,0,5.8489497925515685,1.3140700797351093,28.49547607847071,9.150452392152928
AI Engineer,18,1,3,0.5580348236594244,11.55301520008559,12.148312745587717,10.785168725441228
Video Editor,26,2,2,1.7757955173857232,9.366684194550146,21.10868167489506,9.889131832510493
Data Engineer,8,0,0,3.5014456640020803,1.7772068346788563,9.62639866075096,11.037360133924905
Cybersecurity Analyst,35,8,3,0.3757236680680105,25.441155671292655,51.65219621027879,6.8347803789721215
Data Engineer,5,7,0,4.0822875087512385,0.9838089622813454,44.10065860349422,7.589934139650579
Full Stack Developer,32,4,4,7.07649654302652,3.9621139970188834,61.89834850481331,5.810165149518669
Financial Analyst,33,3,3,3.0636682832489166,8.12074158120416,32.49980082981981,8.750019917018019
SEO Specialist,9,2,5,6.54717408619439,1.1924993245436302,46.25963751990002,7.374036248009999
Sales Executive,14,2,2,7.166657816176672,1.7142875721165312,51.203729461936675,6.879627053806333
Cloud Architect,9,5,3,0.8459614509010942,4.875508096665133,37.12169478909598,8.287830521090402
SEO Specialist,26,10,1,2.311094480570172,7.852388433060596,48.81917356416534,7.118082643583466
Cybersecurity Analyst,17,10,2,5.464732566469513,2.6296524759853996,63.57522191586198,5.642477808413802
IoT Developer,35,0,1,4.572706254280495,6.280610964038501,28.202786633306545,9.179721336669346
Database Administrator,6,7,0,5.810593352288869,0.8809805092802305,39.64156139533507,8.035843860466493
Network Engineer,19,5,3,0.08953516625026747,17.43862941605657,27.303127329627014,9.269687267037298
Software Tester,26,4,4,2.7444527035014916,6.943604862651096,50.527523877617014,6.947247612238298
Content Writer,10,5,2,4.879177011091152,1.7009183396136662,34.43834586298277,8.556165413701724
Backend Developer,21,6,5,6.077329473140663,2.9672209100477214,69.09377334423762,5.090622665576238
Network Engineer,15,10,3,7.18273559590962,1.8331277876677563,74.88736059708442,4.511263940291558
Cybersecurity Analyst,10,8,4,1.7467577057287773,3.6406560284307177,38.307902902919224,8.169209709708078
Operations Manager,22,6,1,7.805883691366103,2.4983296135935027,61.10826028107689,5.889173971892311
Game Developer,33,3,0,6.723856928197041,4.272476860560272,45.94982559727924,7.405017440272076
Financial Analyst,16,1,0,6.672413836575361,2.085393246611124,36.745945277041365,8.325405472295863
Software Tester,7,9,3,1.3445862388117273,2.9856014183328607,42.5030202105054,7.74969797894946
Data Engineer,20,10,0,7.826607943201285,2.2658761019747167,66.05730536012491,5.394269463987508
Mobile App Developer,8,8,3,6.595107836363904,1.0533096003848097,60.934338720734466,5.9065661279265536
NLP Engineer,22,1,4,5.8529899045255664,3.2102776024041235,45.55942473358489,7.444057526641511
System Administrator,9,4,0,5.071628414437265,1.4823041506623793,36.45076012115496,8.354923987884504
Mobile App Developer,23,5,5,4.1556244945878165,4.4611472430051,64.52763146990041,5.5472368530099585
Computer Vision Engineer,14,7,3,3.4947830173371566,3.114722100265925,43.08403771592283,7.691596228407716
Software Tester,13,8,1,4.81861496741216,2.2342086686965943,43.08686888049627,7.6913131119503735
System Administrator,6,4,1,6.960868537971985,0.7536866073571022,36.62589452074131,8.337410547925868
Machine Learning Engineer,11,4,4,1.0127615290602474,5.465128303170554,39.54900857691502,8.045099142308498
Backend Developer,12,0,1,5.101186138956736,1.9668306664795385,31.000522658612244,8.899947734138776
Financial Analyst,23,4,0,4.318162456538484,4.324802069880801,35.24628782702895,8.475371217297106
Backend Developer,34,0,2,3.0583176584451053,8.377855767216282,35.52262285604921,8.447737714395078
Embedded Systems Engineer,8,8,1,7.919217427911133,0.8969396771251924,53.17102045388482,6.6828979546115175
Business Analyst,20,1,3,3.882280127457599,4.096446635153401,35.68088375881247,8.431911624118753
Backend Developer,26,0,1,2.0087690040818957,8.641407819851466,21.171601540655033,9.882839845934496
Computer Vision Engineer,16,1,0,1.5521325233689565,6.2692669183491745,10.097892490537609,10.99021075094624
Blockchain Developer,22,1,1,2.1284130168183273,7.0323195440397885,23.74579108821489,9.62542089117851
Game AI Developer,19,1,0,1.6402605856557244,7.196259378042125,17.52850289206163,10.247149710793837
Data Scientist,11,10,4,1.451572050109701,4.486916874218639,58.38533219345962,6.161466780654038
Cloud Architect,25,4,0,1.9695864919733017,8.418680536018806,29.044255722757356,9.095574427724264
Cybersecurity Analyst,10,2,5,4.293913045390073,1.888961891564875,39.38654846638271,8.061345153361728
Content Writer,34,3,4,1.2764278386823253,14.935680992058316,41.330305988091595,7.866969401190841
AI Engineer,9,4,4,3.812482979575755,1.8701364842631394,39.06863299052435,8.093136700947564
Game AI Developer,23,9,0,4.050433913990718,4.554064144129354,51.85944017501338,6.814055982498662
Content Writer,6,6,1,4.930111019397033,1.011785442190604,51.539152951340924,6.846084704865907
Network Engineer,30,7,4,5.221015251374197,4.822364001337743,71.95788546338059,4.8042114536619405
Graphic Designer,29,9,1,2.4796299929700183,8.334219459709628,41.97686141163114,7.802313858836886
Product Manager,19,0,2,5.769958102095245,2.8065166303052393,39.955686334596756,8.004431366540324
Software Tester,9,2,3,2.4936383350486144,2.5761109585130435,35.071881267844944,8.492811873215505
SEO Specialist,7,8,2,3.895869173752824,1.4297767672240105,57.04960849240672,6.295039150759328
Backend Developer,25,6,3,0.0691817831176822,23.38236621194687,44.45404904648713,7.554595095351287
Operations Manager,25,3,4,1.6180161639428192,9.549215296802894,35.83728008587659,8.41627199141234
Graphic Designer,5,9,4,0.2872304260952623,3.8843084335469023,42.63267841494459,7.736732158505541
Data Scientist,13,3,4,3.844347857658658,2.683539741979447,34.10667636369806,8.589332363630195
Blockchain Developer,32,2,5,5.9892277028247465,4.578474383810241,64.44943509035141,5.5550564909648585
NLP Engineer,20,7,1,2.683001882234599,5.430352913060511,44.56774160912064,7.5432258390879365
Backend Developer,26,2,0,0.7846890055232167,14.568364527116918,16.01411864805071,10.39858813519493
Product Manager,21,3,4,0.22675440363051358,17.118340833219452,36.86937757023281,8.31306224297672
Game Developer,11,0,5,4.7956715356184825,1.8979681530254526,37.73666469175994,8.226333530824006
Game Designer,13,5,2,2.9541894150085506,3.287652318995419,27.527431069528408,9.247256893047158
Graphic Designer,24,4,4,6.762418802258218,3.091819780841765,52.403266893267244,6.759673310673276
Content Writer,24,3,2,0.422635770216508,16.870094582499842,17.32041430958446,10.267958569041554
Business Analyst,12,6,2,1.833158676732051,4.23555521212161,25.892321694142602,9.41076783058574
AI Engineer,8,10,0,2.7993186474431972,2.105640706231289,46.58277972285437,7.341722027714563
Blockchain Developer,11,3,2,6.322586045243384,1.5022015353640528,50.71388445374728,6.928611554625272
NLP Engineer,29,7,5,1.4566675584177444,11.804609012168463,59.777720461450045,6.022227953854996
Data Scientist,6,1,0,6.0973356202841735,0.8453876667255258,26.258947123330216,9.374105287666978
Cloud Engineer,22,5,0,0.8501353337614033,11.891022023385213,26.711830194529927,9.328816980547007
Graphic Designer,18,0,3,1.2550606435874894,7.982046980060142,12.519258220238893,10.748074177976111
Data Scientist,29,2,5,1.865252367392765,10.12127250291343,38.59717179201887,8.140282820798113
DevOps Engineer,7,1,4,0.017287284519562185,6.881045410201814,25.818228159645617,9.41817718403544
HR Analyst,33,4,1,6.417663837890202,4.448840055467674,51.64895323644033,6.835104676355967
AI Researcher,20,7,4,0.23207499695777312,16.232778077133123,50.581856965038355,6.941814303496164
NLP Engineer,7,0,5,6.103434707476398,0.9854387755028517,37.48498901077383,8.251501098922617
Database Administrator,11,2,5,4.816731860491852,1.8910962828996316,51.708258950495434,6.829174104950456
Blockchain Developer,26,4,2,1.1970557879687034,11.834019027818316,35.1264431174377,8.48735568825623
Full Stack Developer,18,10,5,5.782701515941735,2.653809836345248,80.9942818717783,3.90057181282217
Blockchain Developer,25,10,0,0.8078439783709772,13.828626971740752,47.530724095201926,7.246927590479808
Data Analyst,17,1,5,6.426049050857339,2.2892388514505364,53.03563502188734,6.696436497811266
Data Analyst,7,2,3,5.414377871072929,1.0912983520300643,40.70578339120442,7.929421660879558
Data Analyst,7,6,1,0.5882586967128764,4.407342465360006,26.826581400320613,9.31734185996794
Product Manager,23,4,0,4.005592184433298,4.594860938037828,30.4026351524523,8.959736484754771
Computer Vision Engineer,11,8,1,6.501857152872031,1.4663035800126814,65.34477935300298,5.4655220646997025
Game Developer,21,7,3,1.2043305522372938,9.526701872677839,40.44925529198722,7.955074470801278
Video Editor,14,10,4,3.4984826009510552,3.1121605309844176,64.39158934881726,5.560841065118273
AI Researcher,29,3,2,4.2429404183665405,5.53124729367706,34.9262802308495,8.50737197691505
Full Stack Developer,15,6,2,7.812612717555983,1.7021058885428904,54.60368562590918,6.539631437409082
Game AI Developer,28,10,4,2.2132694787714042,8.71386610584115,51.25444806806589,6.874555193193411
DevOps Engineer,12,0,2,0.49487845045765333,8.02740851359937,17.591995915071628,10.240800408492838
Mobile App Developer,23,4,4,3.586909490473551,5.014269422095244,39.02942166311882,8.097057833688119
Backend Developer,25,2,2,0.37336152957412416,18.203509754458054,26.24337503983591,9.375662496016409
Robotics Engineer,12,8,3,1.1381202370461052,5.6124065392030795,44.68691053974523,7.531308946025478
Data Scientist,23,4,0,1.9214115831084975,7.872906417221462,32.932765567394156,8.706723443260584
Sales Executive,19,0,4,2.3207575395269355,5.721586045907669,37.50582070613352,8.249417929386649
Network Engineer,15,10,2,4.346198488101806,2.8057319670010648,63.43107399908424,5.656892600091576
Game AI Developer,5,2,5,1.0056365376677716,2.492974128709375,30.195935051921907,8.98040649480781
NLP Engineer,21,3,3,1.0044503894726722,10.476687330497937,35.596969127170325,8.440303087282967
Cloud Architect,35,2,3,4.732896078320604,6.10511677201951,49.35406828351232,7.064593171648768
Software Tester,8,1,0,5.394087706560722,1.2511558125471933,28.97901008694894,9.102098991305105
Video Editor,7,8,1,4.688029420033277,1.230654675474419,45.911832122956326,7.408816787704367
Software Tester,35,10,0,6.581599259378623,4.616440252589735,61.29101430555628,5.870898569444372
Machine Learning Engineer,27,8,3,1.3483328055151125,11.497518552987843,55.591351966927,6.4408648033073
Blockchain Developer,18,8,4,6.806703381550366,2.3057107616691983,69.8597530932897,5.014024690671031
UI/UX Designer,17,8,5,2.2814715440651305,5.180602596035367,62.425596463215285,5.757440353678471
Machine Learning Engineer,13,10,4,0.3764158558990278,9.444819997012345,57.78096232100545,6.221903767899455
Product Manager,6,5,0,6.735987648705901,0.7755958608599508,54.03322766476156,6.5966772335238435
IoT Developer,23,10,5,4.590405188397256,4.114191945824592,64.05093712954843,5.594906287045157
IoT Developer,8,10,1,6.657170619962663,1.0447723313286976,59.40884216305673,6.059115783694327
Sales Executive,16,5,0,6.557550680343609,2.117088019219548,46.78853995191342,7.321146004808658
Network Engineer,25,3,2,5.292776903500324,3.972808886025163,50.93533843591453,6.9064661564085466
Computer Vision Engineer,26,4,1,0.8281515321556983,14.222015813613451,20.470115287252536,9.952988471274747
Business Analyst,11,4,5,1.4110651871999966,4.5622988786854215,35.719511682305665,8.428048831769434
IoT Developer,17,8,3,1.7003143243583025,6.295563389287966,48.128815584467134,7.187118441553286
AI Engineer,17,1,1,6.636847764757587,2.226049349634983,47.22768842956045,7.277231157043955
IoT Developer,32,10,1,4.407480348809721,5.917728393972573,61.41704710491088,5.858295289508912
Financial Analyst,7,9,5,4.947730885793447,1.1769194226187953,73.03680577301883,4.696319422698117
Cybersecurity Analyst,33,9,1,7.151500412755887,4.048334457342344,61.886280658164566,5.811371934183543
Robotics Engineer,24,3,3,2.313523967227084,7.24304403329376,33.56688468084577,8.643311531915423
Blockchain Developer,30,5,1,2.5888300494882586,8.359270176161667,31.532898107050293,8.84671018929497
Embedded Systems Engineer,19,1,3,1.546200570790539,7.462098712082575,22.06294869337672,9.793705130662328
AI Engineer,34,0,2,3.1750302909781585,8.143653490004791,26.078525779457774,9.392147422054222
Business Analyst,33,3,3,6.945989419003448,4.153038502804692,58.696784949247856,6.130321505075214
Computer Vision Engineer,6,3,1,0.027976643170246618,5.836708489305939,22.73167627514254,9.726832372485745
IoT Developer,34,10,5,5.566058007126405,5.178144933093561,88.23925365148455,3.1760746348515454
Machine Learning Engineer,26,6,2,7.9778990721493654,2.8960004775120995,68.36417223910962,5.163582776089038
Mobile App Developer,31,3,1,7.95051603511324,3.4634874546211343,47.870817317010854,7.212918268298915
NLP Engineer,35,9,2,3.4898561253684557,7.795350011828666,54.464477481983735,6.5535522518016265
HR Analyst,27,7,2,0.14637939404206612,23.55241217726323,39.461489400153845,8.053851059984616
Network Engineer,32,2,5,2.7453519733867573,8.543923302103916,42.346854549802075,7.765314545019793
Full Stack Developer,33,9,4,6.45265213977422,4.427953885554592,82.92062551150633,3.7079374488493677
Cloud Architect,13,6,0,1.5516573811690009,5.094727879980603,24.073679294815754,9.592632070518425
Video Editor,18,3,4,4.890737383754703,3.055644620933171,53.389588513687755,6.661041148631225
Data Engineer,28,10,2,7.033555621021323,3.485380735615085,72.01113185359564,4.7988868146404355
SEO Specialist,10,5,2,3.099903172328456,2.439081992836603,30.73342321590169,8.926657678409832
Cybersecurity Analyst,32,10,5,1.890311907013702,11.071469457101848,54.479977552513425,6.552002244748658
HR Analyst,21,0,5,7.257194681147614,2.5432366331323255,52.26100850315683,6.773899149684317
Cloud Architect,26,3,3,1.8782912215571486,9.033137371670843,28.46117769460217,9.153882230539782
NLP Engineer,17,10,5,0.2006017273787153,14.159566500971355,50.93302618605954,6.9066973813940455
Game Designer,31,3,3,0.864405030588645,16.62728832597734,37.22935388770557,8.277064611229443
AI Researcher,22,2,1,0.7333653492848864,12.692073260306186,24.223430989601134,9.577656901039887
